campo,valor,supuesto,fuente
latitud_grados,15.94521,no,"Coordenada proporcionada por la usuaria; Plus Code W5V9+VV, playa cerca de Puerto Arista, Tonala, Chiapas"
longitud_grados,-93.83029,no,"Coordenada proporcionada por la usuaria; Plus Code W5V9+VV"
huso_horario_horas,-6,no,"Tiempo del Centro de Mexico (UTC-6)"
orientacion_grados,115,si,"SUPUESTO. Azimut del eje largo del corral, grados desde el norte en sentido del reloj. 115 grados (ESE) alinea el corral con la linea de costa de Chiapas, que corre NO-SE. PENDIENTE: medir con brujula en campo"
corral_ref_largo_cm,3000,no,"DATO DE CAMPO: largo del corral sobre el que se midieron los rectangulos de malla y riego de este archivo. Sirve para reescalarlos cuando se evalua un corral de otro tamano: lo que en campo cubre el corral completo debe seguir cubriendolo completo, no quedarse en 3000 cm"
corral_ref_ancho_cm,800,no,"DATO DE CAMPO: ancho del corral sobre el que se midieron los rectangulos de malla y riego. Ver corral_ref_largo_cm"
malla_xmin_cm,0,si,"SUPUESTO. Region cubierta por la malla sombra, en coordenadas locales del corral"
malla_ymin_cm,0,si,SUPUESTO
malla_xmax_cm,3000,no,"DATO DE CAMPO: fotografia del corral aportada por la usuaria. La malla es un toldo continuo sobre postes que cubre el corral COMPLETO, no una parte. Corrige un supuesto anterior de 1800 cm que yo habia elegido, y que hacia que la posicion del nido cambiara su sombra"
malla_ymax_cm,800,no,"DATO DE CAMPO: la cubierta abarca todo el ancho del corral"
malla_altura_cm,250,si,"SUPUESTO. Altura del toldo sobre la arena; en la fotografia los postes superan la estatura de una persona. Importa MAS con cobertura total: como el techo cubre todo, el unico sol directo entra por los LADOS abiertos cuando el sol esta bajo, y cuanto mas alto el toldo, mas adentro penetra"
malla_atenuacion,0.80,si,"SUPUESTO. Fraccion de la radiacion directa que intercepta la malla. Hill et al. (2015) NO reportan el porcentaje de sus parcelas sombreadas, solo sombreada contra expuesta, asi que no existe un mapeo documentado de porcentaje a grados. Se asume malla de sombreo fuerte (80 por ciento) y la atenuacion escala linealmente entre 0 y el anclaje medido por Hill. PENDIENTE: leer la etiqueta de la malla instalada"
riego_activo,1,no,"DATO DE CAMPO: la usuaria confirma que el corral cuenta con riego. 1 = disponible, 0 = no"
riego_xmin_cm,0,si,"SUPUESTO. Region regada, en coordenadas locales del corral. Se asume el corral completo; si el riego solo alcanza una parte, corregir estos limites"
riego_ymin_cm,0,si,SUPUESTO
riego_xmax_cm,3000,si,"SUPUESTO. Se asume que el riego cubre todo el largo"
riego_ymax_cm,800,si,"SUPUESTO. Se asume que el riego cubre todo el ancho"
pared_arena_cm,20,si,"SUPUESTO. Espesor minimo de arena que debe quedar entre dos camaras vecinas. No hay fuente que lo cuantifique: el limite de CONTACTO entre camaras si es un hecho geometrico (la suma de los radios, csv/camara_incubacion.csv), pero cuanta pared hace falta para que no se derrumbe al excavar la segunda no esta medido. Se toman 20 cm con este argumento: la pared entre dos camaras no deberia ser mas delgada que la parte mas angosta de la excavacion que la produce, y el cuello de la camara mide 15-20 cm. Es un argumento, no una medicion. PENDIENTE: preguntar al personal del Santuario a que distancia han visto derrumbes"
cerco_conteo_diametro_cm,60,no,"DATO DE CAMPO: diametro del cerco de malla fina que se instala sobre el nido para contar las crias emergidas, segun la figura aportada por la usuaria (60 cm de diametro, 50 cm de alto sobre el nivel de playa). Si se instala en un nido, ese nido ocupa 60 cm en superficie, MUCHO mas que su camara: la golfina pasaria de 45 a 60 cm de piso"
cerco_conteo_en_todos_los_nidos,no,si,"SUPUESTO. Si el cerco de conteo se instala en TODOS los nidos o solo en una muestra. Se asume que solo en una muestra, porque el cerco sirve para contar crias emergidas y eso suele hacerse por muestreo, no nido por nido. Cambiarlo a si eleva el piso de separacion de golfina y prieta a 60 cm y reduce la capacidad del corral. PENDIENTE: confirmar la practica del Santuario"
paso_minutos,10,no,"Resolucion temporal con que se integra la trayectoria solar a lo largo del dia"
